"","Overall_Rating","Technical_Skills","Teamwork","Customer_Service","Hire_Again","High_Performer","Retained","scale"
"1631",5,5,5,4,5,1,0,7.27230193347171
"1632",4,4,4,4,5,1,1,4.6142303849082
"1633",3,3,3,3,4,0,0,-2.17018322593355
"1634",3,3,3,4,5,0,1,-0.103875508530471
"1635",3,3,3,3,4,0,0,-2.17018322593355
"1636",4,4,4,4,5,1,1,4.6142303849082
"1637",1,1,1,1,1,0,0,-12.3967344062751
"1638",4,4,4,5,5,1,0,5.20964211180073
"1639",2,2,3,2,2,0,0,-6.68021664997441
"1641",4,4,4,4,5,1,0,4.26767871385712
"1642",4,4,4,4,4,1,0,3.48988606544872
"1643",4,3,4,3,5,1,1,2.67246540589312
"1644",4,4,4,4,4,1,1,3.8364377364998
"1645",4,4,4,4,5,1,0,4.26767871385712
"1646",4,4,4,4,4,1,1,3.8364377364998
"1647",3,4,3,3,5,0,0,-0.392588996453677
"1648",4,4,4,4,4,1,1,3.8364377364998
"1649",4,4,3,4,5,1,0,3.27554022352299
"1650",3,4,5,4,5,1,0,4.24713405598228
"1651",2,2,3,3,1,0,0,-6.51604590043921
"1652",4,4,4,4,5,1,1,4.6142303849082
"1653",3,3,3,3,3,0,1,-2.60142420329088
"1654",1,2,2,3,1,0,1,-8.17431586793125
"1655",3,2,3,3,4,0,0,-3.16998480700503
"1656",4,3,4,3,5,1,1,2.67246540589312
"1657",4,3,4,5,5,1,1,4.55639220178033
"1658",4,4,4,4,4,1,0,3.48988606544872
"1659",2,2,2,2,2,0,0,-7.67235514030855
"1660",3,4,3,4,4,0,0,-0.228418246918474
"1661",4,4,4,4,5,1,1,4.6142303849082
"1662",3,3,4,3,3,0,1,-1.60928571295674
"1663",3,3,3,3,5,0,1,-1.04583890647407
"1664",3,3,3,3,4,0,1,-1.82363155488248
"1665",1,1,1,1,2,0,1,-11.2723900868157
"1666",4,4,4,4,5,1,1,4.6142303849082
"1667",4,4,4,4,5,1,1,4.6142303849082
"1668",4,4,4,4,4,1,1,3.8364377364998
"1669",4,4,4,4,5,1,0,4.26767871385712
"1670",3,3,4,3,5,0,1,-0.05370041613994
"1671",3,4,4,4,4,1,0,2.47720291723974
"1673",3,3,3,3,5,0,1,-1.04583890647407
"1674",3,3,2,3,4,0,0,-3.16232171626769
"1675",4,4,4,4,4,1,0,3.48988606544872
"1676",2,3,2,3,2,0,1,-5.38403849024239
"1677",3,3,4,3,4,0,1,-0.831493064548341
"1678",4,4,4,4,5,1,1,4.6142303849082
"1679",4,4,4,4,5,1,1,4.6142303849082
"1680",3,3,2,3,4,0,1,-2.81577004521661
"1681",1,1,2,1,2,0,1,-10.2802515964815
"1682",1,1,1,1,1,0,1,-12.0501827352241
"1683",3,3,4,4,5,1,1,2.60174565562774
"1684",3,3,4,3,4,0,1,-0.831493064548341
"1685",5,5,3,5,5,1,0,6.22998835074705
"1686",4,4,4,4,5,1,0,4.26767871385712
"1687",4,4,5,4,5,1,1,5.60636887524234
"1688",4,4,4,4,5,1,0,4.26767871385712
"1689",4,4,4,3,4,1,1,2.89447433855619
"1690",4,4,5,4,5,1,1,5.60636887524234
"1691",4,4,5,5,5,1,0,6.20178060213486
"1692",4,4,2,5,5,1,1,3.57191680218353
"1693",3,3,3,3,3,0,1,-2.60142420329088
"1694",1,1,2,3,2,0,1,-8.39632480059432
"1695",5,5,5,4,5,1,1,7.61885360452279
"1696",3,3,4,4,5,1,0,2.25519398457667
"1697",3,3,3,3,5,0,0,-1.39239057752515
"1698",4,4,4,4,5,1,1,4.6142303849082
"1699",3,3,4,2,4,0,0,-2.12000813354302
"1700",3,3,4,4,5,1,1,2.60174565562774
"1701",4,4,5,4,5,1,1,5.60636887524234
"1702",2,1,1,1,2,0,1,-10.2597069386067
"1703",5,4,4,3,5,1,1,4.68495013517358
"1704",4,3,4,4,5,1,0,3.26787713278565
"1705",4,4,4,4,5,1,1,4.6142303849082
"1706",2,3,2,3,3,0,1,-4.60624584183399
"1707",3,4,4,4,5,1,1,3.60154723669922
"1708",3,3,3,3,4,0,0,-2.17018322593355
"1709",4,4,4,4,5,1,0,4.26767871385712
"1710",4,4,4,4,5,1,0,4.26767871385712
"1711",1,1,2,2,1,0,0,-10.4626325179974
"1712",4,3,2,3,3,0,1,-2.58087954541603
"1713",2,1,1,3,2,0,0,-8.72233181377055
"1714",4,4,4,4,5,1,0,4.26767871385712
"1715",4,4,4,4,5,1,0,4.26767871385712
"1716",4,3,3,3,5,0,0,-0.379707429316172
"1717",1,1,3,3,2,0,1,-7.40418631026019
"1718",2,3,2,2,2,0,0,-6.67255355923707
"1720",2,2,2,2,2,0,0,-7.67235514030855
"1721",3,4,3,5,4,1,0,2.42702782484921
"1722",3,3,3,3,4,0,1,-1.82363155488248
"1723",3,3,3,3,4,0,1,-1.82363155488248
"1724",3,3,3,3,4,0,1,-1.82363155488248
"1725",4,4,4,4,5,1,0,4.26767871385712
"1727",3,3,3,3,4,0,0,-2.17018322593355
"1728",3,3,3,3,4,0,0,-2.17018322593355
"1729",3,3,3,3,5,0,0,-1.39239057752515
"1730",4,4,4,4,5,1,0,4.26767871385712
"1731",5,4,5,5,5,1,1,7.56101542139492
"1732",1,1,3,2,1,0,0,-9.47049402766327
"1733",2,2,2,2,2,0,0,-7.67235514030855
"1734",1,1,1,1,1,0,1,-12.0501827352241
"1735",2,3,3,3,4,0,1,-2.83631470309146
"1736",3,3,3,3,5,0,1,-1.04583890647407
"1737",2,3,3,3,3,0,0,-3.96065902255093
"1738",4,4,4,5,5,1,0,5.20964211180073
"1739",2,3,3,3,4,0,0,-3.18286637414253
"1740",1,1,1,3,1,0,1,-10.1662559393369
"1742",3,3,3,3,4,0,1,-1.82363155488248
"1743",4,3,4,4,5,1,0,3.26787713278565
"1744",5,4,5,4,5,1,1,6.61905202345131
"1745",3,4,4,5,5,1,1,4.54351063464282
"1747",3,3,3,3,4,0,1,-1.82363155488248
"1748",4,4,4,4,5,1,1,4.6142303849082
"1749",3,2,3,3,4,0,1,-2.82343313595395
"1750",4,3,4,3,5,1,1,2.67246540589312
"1751",4,3,4,4,4,1,1,2.83663615542832
"1752",5,4,4,5,5,1,1,6.56887693106078
"1753",5,5,5,5,5,1,1,8.56081700246639
"1754",3,3,3,3,4,0,1,-1.82363155488248
"1755",3,3,3,3,5,0,0,-1.39239057752515
"1756",1,1,1,1,1,0,1,-12.0501827352241
"1757",4,4,4,4,5,1,1,4.6142303849082
"1758",4,5,4,4,5,1,0,5.2674802949286
"1759",5,4,4,4,5,1,0,5.2803618620661
"1760",3,3,3,3,4,0,0,-2.17018322593355
"1761",3,3,4,4,4,0,1,0.110470333395263
"1762",4,4,4,4,5,1,1,4.6142303849082
"1763",3,3,3,3,5,0,1,-1.04583890647407
"1764",5,5,5,5,5,1,1,8.56081700246639
"1765",3,3,3,5,2,0,0,-1.84184172686315
"1766",3,4,4,4,5,1,0,3.25499556564814
"1767",4,4,4,4,4,1,0,3.48988606544872
"1768",3,3,3,3,4,0,0,-2.17018322593355
"1769",4,4,4,4,5,1,1,4.6142303849082
"1770",5,5,5,4,5,1,0,7.27230193347171
"1771",4,3,4,4,5,1,0,3.26787713278565
"1772",3,3,3,3,4,0,0,-2.17018322593355
"1773",4,4,4,4,5,1,0,4.26767871385712
"1774",3,4,3,4,4,0,1,0.118133424132603
"1775",2,3,3,3,3,0,1,-3.61410735149986
"1776",4,3,4,4,4,1,1,2.83663615542832
"1777",3,3,3,3,4,0,1,-1.82363155488248
"1778",3,2,3,3,4,0,1,-2.82343313595395
"1779",4,5,5,5,5,1,0,7.20158218320634
"1780",3,3,3,3,5,0,1,-1.04583890647407
"1781",3,3,3,3,4,0,0,-2.17018322593355
"1782",4,4,4,4,5,1,1,4.6142303849082
"1783",2,2,2,2,3,0,1,-6.54801082084907
"1784",3,3,3,4,4,0,0,-1.22821982798995
"1785",4,3,4,4,5,1,0,3.26787713278565
"1786",3,3,3,3,5,0,0,-1.39239057752515
"1787",1,1,1,1,2,0,0,-11.6189417578667
"1788",5,5,5,5,5,1,0,8.21426533141532
"1789",1,1,1,2,1,0,0,-11.4547710083315
"1790",4,3,4,4,5,1,0,3.26787713278565
"1791",4,3,3,3,5,0,1,-0.0331557582650954
"1792",2,3,3,3,3,0,0,-3.96065902255093
"1793",1,2,1,1,2,0,1,-10.2725885057442
"1794",4,4,4,4,5,1,1,4.6142303849082
"1795",3,4,4,4,5,1,1,3.60154723669922
"1796",3,3,3,3,3,0,1,-2.60142420329088
"1797",4,4,4,5,4,1,0,4.43184946339233
"1798",5,4,5,5,5,1,1,7.56101542139492
"1799",5,4,4,5,5,1,1,6.56887693106078
"1800",3,3,4,3,4,0,0,-1.17804473559942
"1801",1,2,1,2,1,0,0,-10.4549694272601
"1802",3,3,3,3,4,0,0,-2.17018322593355
"1803",4,4,5,5,5,1,0,6.20178060213486
"1804",4,4,4,4,5,1,1,4.6142303849082
"1805",3,3,3,3,4,0,1,-1.82363155488248
"1806",3,3,3,3,3,0,0,-2.94797587434195
"1807",3,3,3,3,4,0,1,-1.82363155488248
"1808",2,2,3,2,3,0,0,-5.90242400156601
"1809",3,4,3,3,4,0,0,-1.17038164486208
"1810",4,4,4,4,5,1,1,4.6142303849082
"1811",3,3,3,3,4,0,1,-1.82363155488248
"1812",3,3,3,3,4,0,0,-2.17018322593355
"1813",5,5,5,5,5,1,0,8.21426533141532
"1814",5,5,5,5,5,1,1,8.56081700246639
"1815",4,4,3,4,4,1,0,2.49774757511459
"1816",4,4,4,4,5,1,0,4.26767871385712
"1817",2,2,2,2,3,0,1,-6.54801082084907
"1818",3,3,3,3,4,0,0,-2.17018322593355
"1819",2,2,2,2,2,0,1,-7.32580346925747
"1820",3,3,3,4,4,0,1,-0.881668156938872
"1821",1,1,1,2,3,0,0,-9.89918571151474
"1822",4,4,4,3,4,1,1,2.89447433855619
"1823",4,3,3,3,5,0,0,-0.379707429316172
"1824",5,4,5,5,5,1,1,7.56101542139492
"1825",4,4,4,4,5,1,1,4.6142303849082
"1826",3,3,3,3,4,0,0,-2.17018322593355
"1827",4,4,3,4,4,1,0,2.49774757511459
"1828",3,3,3,3,5,0,0,-1.39239057752515
"1829",3,3,3,3,4,0,1,-1.82363155488248
"1830",2,3,2,2,2,0,1,-6.326001888186
"1832",4,4,4,4,5,1,1,4.6142303849082
"1833",3,3,3,4,4,0,1,-0.881668156938872
"1834",4,4,4,4,4,1,0,3.48988606544872
"1835",4,4,4,4,5,1,1,4.6142303849082
"1836",4,3,4,3,1,0,0,-2.49873953261564
"1837",4,4,4,3,4,1,1,2.89447433855619
"1838",4,4,4,5,5,1,1,5.5561937828518
"1839",2,2,3,3,3,0,0,-4.96046060362241
"1840",1,1,2,2,2,0,0,-9.684839869589
"1841",2,2,2,2,2,0,1,-7.32580346925747
"1842",2,2,2,2,2,0,1,-7.32580346925747
"1843",3,4,4,3,5,1,1,2.65958383875562
"1844",3,3,3,3,4,0,1,-1.82363155488248
"1845",2,3,3,3,4,0,0,-3.18286637414253
"1846",2,2,2,2,4,0,0,-6.11676984349175
"1848",5,5,4,5,5,1,0,7.22212684108118
"1849",3,4,3,4,5,1,0,2.26285707531401
"1850",4,3,3,4,4,0,1,0.131014991270108
"1851",2,2,3,2,2,0,1,-6.33366497892334
"1852",4,3,3,3,5,0,1,-0.0331557582650954
"1853",3,3,4,4,5,1,1,2.60174565562774
"1854",3,3,3,3,4,0,1,-1.82363155488248
"1856",5,4,5,5,5,1,1,7.56101542139492
"1857",3,3,3,2,4,0,0,-3.11214662387716
"1858",4,4,4,5,5,1,0,5.20964211180073
"1859",4,4,5,5,5,1,1,6.54833227318594
"1860",3,3,3,3,4,0,1,-1.82363155488248
"1861",5,4,5,4,5,1,0,6.27250035240024
"1862",3,3,3,4,5,0,1,-0.103875508530471
"1863",4,4,4,4,4,1,1,3.8364377364998
"1864",4,4,4,4,4,1,0,3.48988606544872
"1865",4,4,5,4,5,1,1,5.60636887524234
"1866",3,3,3,3,4,0,1,-1.82363155488248
"1867",3,3,3,3,4,0,1,-1.82363155488248
"1868",3,3,3,3,5,0,1,-1.04583890647407
"1869",3,3,3,3,4,0,1,-1.82363155488248
"1870",3,3,3,3,5,0,0,-1.39239057752515
"1871",3,3,4,3,4,0,1,-0.831493064548341
"1872",3,4,3,3,5,0,1,-0.0460373254026
"1873",3,3,3,3,4,0,0,-2.17018322593355
"1874",3,3,3,3,4,0,0,-2.17018322593355
"1875",4,4,5,3,5,1,0,4.31785380624765
"1876",4,4,4,4,5,1,0,4.26767871385712
"1877",3,3,3,3,3,0,1,-2.60142420329088
"1878",3,3,3,3,5,0,1,-1.04583890647407
"1879",5,5,5,5,5,1,1,8.56081700246639
"1880",2,3,3,1,2,0,0,-6.62237846684654
"1881",1,2,1,2,2,0,0,-9.67717677885166
"1882",3,3,4,4,5,1,0,2.25519398457667
"1883",3,3,3,3,4,0,1,-1.82363155488248
"1885",3,3,4,4,4,0,1,0.110470333395263
"1886",4,4,4,4,4,1,0,3.48988606544872
"1887",3,3,3,3,4,0,1,-1.82363155488248
"1888",4,3,4,3,4,0,1,0.181190083660639
"1889",1,1,1,2,1,0,0,-11.4547710083315
"1890",1,2,3,2,2,0,0,-7.69289979818339
"1891",3,3,4,3,4,0,1,-0.831493064548341
"1892",4,4,4,4,5,1,0,4.26767871385712
"1893",4,4,4,4,5,1,1,4.6142303849082
"1894",2,3,2,3,3,0,0,-4.95279751288507
"1896",4,4,4,4,5,1,1,4.6142303849082
"1898",4,5,4,5,5,1,0,6.2094436928722
"1899",5,4,5,5,5,1,1,7.56101542139492
"1900",4,3,3,3,5,0,1,-0.0331557582650954
"1901",3,3,3,3,4,0,0,-2.17018322593355
"1902",4,4,4,4,5,1,1,4.6142303849082
"1903",3,3,3,3,4,0,1,-1.82363155488248
"1904",3,3,3,3,4,0,0,-2.17018322593355
"1905",4,4,4,4,5,1,0,4.26767871385712
"1906",4,4,3,3,5,1,1,2.68012849663046
"1907",1,2,1,2,1,0,1,-10.108417756209
"1908",4,4,4,4,5,1,0,4.26767871385712
"1909",2,2,2,2,2,0,0,-7.67235514030855
"1910",4,4,4,5,5,1,1,5.5561937828518
"1911",3,3,3,3,5,0,0,-1.39239057752515
"1912",5,5,5,5,5,1,0,8.21426533141532
"1913",3,4,3,3,5,0,1,-0.0460373254026
"1914",4,4,4,4,5,1,1,4.6142303849082
"1915",3,3,3,4,4,0,1,-0.881668156938872
"1916",3,3,3,3,5,0,0,-1.39239057752515
"1917",1,1,2,1,2,0,0,-10.6268032675326
"1918",1,1,1,1,1,0,0,-12.3967344062751
"1919",4,3,4,4,5,1,1,3.61442880383672
"1921",5,5,5,5,5,1,1,8.56081700246639
"1922",4,3,3,4,4,0,1,0.131014991270108
"1923",4,4,3,3,4,0,1,0.188853174397979
"1924",4,4,3,4,5,1,1,3.62209189457406
"1925",3,3,4,3,4,0,1,-0.831493064548341
"1926",5,5,5,5,5,1,0,8.21426533141532
"1927",2,1,2,3,2,0,0,-7.73019332343642
"1928",3,3,3,3,4,0,1,-1.82363155488248
"1929",3,3,3,3,4,0,0,-2.17018322593355
"1930",3,3,3,3,4,0,1,-1.82363155488248
"1931",3,2,2,3,3,0,0,-4.93991594574756
"1932",5,4,5,5,5,1,1,7.56101542139492
"1933",3,3,3,3,4,0,1,-1.82363155488248
"1934",4,4,4,4,5,1,1,4.6142303849082
"1935",3,3,3,3,5,0,1,-1.04583890647407
"1936",3,3,3,3,5,0,0,-1.39239057752515
"1937",3,3,4,4,3,0,0,-1.01387398606421
"1939",2,3,3,2,3,0,0,-4.90262242049454
"1940",4,3,4,3,5,1,1,2.67246540589312
"1941",2,2,2,3,3,0,0,-5.95259909395654
"1942",3,2,3,3,4,0,1,-2.82343313595395
"1943",3,3,3,3,5,0,1,-1.04583890647407
"1944",1,1,3,3,2,0,0,-7.75073798131126
"1945",2,3,3,3,4,0,0,-3.18286637414253
"1946",1,1,1,1,1,0,0,-12.3967344062751
"1947",4,4,4,4,5,1,1,4.6142303849082
"1948",3,3,3,3,4,0,1,-1.82363155488248
"1949",2,3,3,3,3,0,0,-3.96065902255093
"1950",2,2,1,2,3,0,1,-7.5401493111832
"1951",3,3,3,3,4,0,1,-1.82363155488248
"1952",5,4,4,4,5,1,0,5.2803618620661
"1953",5,4,4,5,5,1,1,6.56887693106078
"1954",3,3,4,3,4,0,1,-0.831493064548341
"1955",3,3,3,3,4,0,0,-2.17018322593355
"1956",3,3,3,3,5,0,0,-1.39239057752515
"1957",3,3,3,4,4,0,1,-0.881668156938872
"1958",4,3,4,4,5,1,1,3.61442880383672
"1959",3,3,3,3,4,0,1,-1.82363155488248
"1960",3,3,4,4,4,0,1,0.110470333395263
"1961",4,4,4,4,5,1,0,4.26767871385712
"1962",4,3,4,4,5,1,0,3.26787713278565
"1963",2,2,3,2,4,0,0,-5.12463135315761
"1964",4,3,5,4,5,1,1,4.60656729417086
"1965",3,3,4,3,5,0,1,-0.05370041613994
"1966",3,3,4,4,4,0,1,0.110470333395263
"1967",3,3,4,4,4,0,0,-0.236081337655814
"1968",2,2,3,3,3,0,0,-4.96046060362241
"1969",4,4,4,4,5,1,1,4.6142303849082
"1970",4,4,5,4,5,1,1,5.60636887524234
"1971",3,3,3,2,4,0,1,-2.76559495282608
"1972",2,3,3,3,2,0,1,-4.39189999990826
"1973",5,5,5,5,5,1,1,8.56081700246639
"1974",5,5,5,5,5,1,0,8.21426533141532
"1975",4,4,4,4,4,1,1,3.8364377364998
"1976",3,3,3,3,4,0,1,-1.82363155488248
"1977",2,3,3,3,4,0,1,-2.83631470309146
"1978",3,3,4,4,5,1,0,2.25519398457667
"1979",2,3,2,2,3,0,1,-5.5482092397776
"1980",3,3,3,3,4,0,0,-2.17018322593355
"1982",3,3,3,4,4,0,0,-1.22821982798995
"1983",3,3,4,4,5,1,1,2.60174565562774
"1984",3,3,3,3,4,0,0,-2.17018322593355
"1985",3,4,3,2,3,0,1,-2.54358602016301
"1986",4,4,4,4,5,1,0,4.26767871385712
"1987",3,3,3,3,4,0,1,-1.82363155488248
"1988",3,3,3,3,4,0,1,-1.82363155488248
"1989",5,5,5,5,5,1,1,8.56081700246639
"1990",5,5,5,5,5,1,1,8.56081700246639
"1991",5,5,5,5,5,1,1,8.56081700246639
"1993",5,5,4,5,5,1,1,7.56867851213226
"1994",2,2,3,4,3,0,0,-4.0184972056788
"1995",4,4,2,3,4,0,1,-0.803285315936156
"1996",3,3,3,3,5,0,0,-1.39239057752515
"1997",3,4,4,4,4,1,1,2.82375458829082
"1998",2,2,2,2,3,0,0,-6.89456249190015
"1999",4,4,4,4,4,1,0,3.48988606544872
"2000",5,5,5,5,5,1,1,8.56081700246639
"2001",3,3,3,4,4,0,1,-0.881668156938872
"2002",3,4,4,4,4,1,1,2.82375458829082
"2003",3,3,3,3,4,0,0,-2.17018322593355
"2004",4,4,4,3,4,1,0,2.54792266750512
"2005",2,2,3,3,2,0,0,-5.73825325203081
"2007",4,4,5,5,5,1,1,6.54833227318594
"2008",4,4,4,3,5,1,0,3.32571531591352
"2009",3,3,3,3,4,0,1,-1.82363155488248
"2010",3,3,3,3,4,0,1,-1.82363155488248
"2011",3,3,3,3,4,0,1,-1.82363155488248
"2012",3,3,3,3,4,0,1,-1.82363155488248
"2013",3,3,3,4,5,0,0,-0.450427179581548
"2014",4,5,4,5,5,1,0,6.2094436928722
"2015",2,2,3,3,4,0,1,-3.83611628416293
"2016",3,3,3,4,3,0,0,-2.00601247639835
"2017",5,5,5,5,5,1,1,8.56081700246639
"2018",4,4,4,4,5,1,1,4.6142303849082
"2019",2,3,2,2,3,0,1,-5.5482092397776
"2020",3,3,3,3,4,0,0,-2.17018322593355
"2021",2,2,4,3,4,0,1,-2.8439777938288
"2022",3,4,3,4,4,0,1,0.118133424132603
"2023",2,2,2,2,3,0,0,-6.89456249190015
"2024",2,1,1,3,2,0,1,-8.37578014271948
"2025",4,4,4,4,5,1,1,4.6142303849082
"2026",2,2,2,2,2,0,1,-7.32580346925747
"2027",4,4,4,4,5,1,0,4.26767871385712
"2028",1,1,1,1,1,0,0,-12.3967344062751
"2029",3,3,3,3,4,0,1,-1.82363155488248
"2030",3,2,3,3,4,0,1,-2.82343313595395
"2031",2,2,2,1,4,0,1,-6.71218157038427
"2032",3,3,5,5,5,1,1,4.53584754390548
"2033",5,3,5,5,5,1,1,6.56121384032344
"2035",3,2,4,3,4,0,1,-1.83129464561982
"2036",4,3,3,3,5,0,1,-0.0331557582650954
"2037",4,4,4,4,5,1,1,4.6142303849082
"2038",2,2,1,1,1,0,0,-10.3842496769947
"2039",5,5,5,5,5,1,1,8.56081700246639
"2040",4,4,4,4,5,1,0,4.26767871385712
"2041",3,3,4,3,4,0,1,-0.831493064548341
"2042",3,3,3,4,5,0,1,-0.103875508530471
"2043",3,3,4,4,4,0,1,0.110470333395263
"2044",4,3,3,3,4,0,0,-1.15750007772457
"2045",5,5,5,5,5,1,1,8.56081700246639
"2046",3,3,4,4,4,0,1,0.110470333395263
"2047",2,2,1,2,2,0,1,-8.31794195959161
"2048",4,3,3,3,4,0,1,-0.810948406673496
"2049",2,2,2,2,3,0,0,-6.89456249190015
"2050",3,4,2,2,3,0,1,-3.53572451049714
"2051",3,3,4,3,5,0,1,-0.05370041613994
"2052",4,4,3,4,5,1,1,3.62209189457406
"2053",4,4,4,4,5,1,1,4.6142303849082
"2054",4,4,4,5,5,1,0,5.20964211180073
"2055",3,2,3,3,5,0,0,-2.39219215859663
"2056",3,4,5,5,5,1,1,5.53564912497696
"2057",3,3,3,3,4,0,1,-1.82363155488248
"2058",2,2,4,3,2,0,1,-4.3995630906456
"2059",4,4,3,3,5,1,0,2.33357682557938
"2060",4,4,4,4,5,1,1,4.6142303849082
"2061",3,3,2,3,4,0,1,-2.81577004521661
"2062",3,1,3,5,3,0,0,-3.0636522405977
"2063",3,3,4,3,5,0,1,-0.05370041613994
"2064",4,4,4,4,4,1,0,3.48988606544872
"2065",3,3,3,3,4,0,1,-1.82363155488248
"2066",3,3,3,3,3,0,1,-2.60142420329088
"2067",3,3,3,3,3,0,0,-2.94797587434195
"2068",3,3,3,3,4,0,1,-1.82363155488248
"2069",2,2,2,2,2,0,0,-7.67235514030855
"2070",3,3,3,3,4,0,1,-1.82363155488248
"2071",3,3,3,3,4,0,1,-1.82363155488248
"2072",3,3,3,3,4,0,1,-1.82363155488248
"2073",4,4,4,4,5,1,1,4.6142303849082
"2074",3,3,3,3,5,0,1,-1.04583890647407
"2075",4,5,4,3,5,1,1,4.67206856803607
"2076",4,4,5,5,5,1,0,6.20178060213486
"2077",3,3,3,3,4,0,0,-2.17018322593355
"2078",1,1,1,1,1,0,0,-12.3967344062751
"2079",3,3,3,3,4,0,1,-1.82363155488248
"2080",3,3,3,3,4,0,0,-2.17018322593355
"2081",3,3,3,3,4,0,1,-1.82363155488248
"2082",3,3,3,3,4,0,1,-1.82363155488248
"2083",4,4,4,4,5,1,0,4.26767871385712
"2084",3,2,4,5,4,0,1,0.0526321502673915
"2085",5,5,5,5,5,1,0,8.21426533141532
"2086",2,2,3,3,3,0,0,-4.96046060362241
"2087",5,4,5,5,5,1,1,7.56101542139492
"2088",3,3,3,3,4,0,1,-1.82363155488248
"2089",3,3,3,3,4,0,0,-2.17018322593355
"2090",4,4,4,4,5,1,0,4.26767871385712
"2091",3,3,3,3,4,0,1,-1.82363155488248
"2092",3,3,4,4,4,0,0,-0.236081337655814
"2093",5,3,4,4,5,1,0,4.28056028099463
"2094",3,3,3,3,4,0,0,-2.17018322593355
"2095",3,3,3,4,4,0,1,-0.881668156938872
"2096",4,3,4,3,5,1,1,2.67246540589312
"2097",4,4,4,4,5,1,1,4.6142303849082
"2098",3,3,4,3,4,0,0,-1.17804473559942
"2099",4,4,4,4,5,1,1,4.6142303849082
"2100",3,3,2,3,4,0,1,-2.81577004521661
"2101",4,4,4,4,5,1,0,4.26767871385712
"2102",5,5,5,5,5,1,1,8.56081700246639
"2103",4,4,4,4,5,1,1,4.6142303849082
"2104",4,4,4,4,4,1,0,3.48988606544872
"2105",2,2,3,3,4,0,1,-3.83611628416293
"2106",5,5,5,5,5,1,1,8.56081700246639
"2107",5,5,4,5,5,1,1,7.56867851213226
"2108",3,3,3,3,5,0,1,-1.04583890647407
"2110",5,4,3,5,5,1,1,5.57673844072665
"2111",4,4,4,4,5,1,1,4.6142303849082
"2112",3,3,3,5,4,0,1,0.0602952410047317
"2113",2,2,2,2,2,0,0,-7.67235514030855
"2114",4,4,4,4,5,1,1,4.6142303849082
"2115",2,3,3,2,2,0,1,-5.33386339785186
"2116",3,3,3,4,4,0,0,-1.22821982798995
"2117",3,3,4,4,4,0,0,-0.236081337655814
"2118",3,3,3,3,4,0,0,-2.17018322593355
"2119",3,3,4,4,5,1,1,2.60174565562774
"2120",3,3,3,3,4,0,1,-1.82363155488248
"2121",4,4,3,3,5,1,0,2.33357682557938
"2122",4,4,4,3,4,1,1,2.89447433855619
"2123",2,2,1,4,1,0,1,-7.2118078121128
"2124",3,3,4,3,4,0,1,-0.831493064548341
"2125",4,4,4,3,4,1,1,2.89447433855619
"2126",4,4,4,4,5,1,1,4.6142303849082
"2127",4,4,4,4,4,1,0,3.48988606544872
"2128",3,3,4,4,4,0,1,0.110470333395263
"2129",3,3,3,3,5,0,1,-1.04583890647407
"2130",4,4,4,4,5,1,0,4.26767871385712
"2131",2,2,3,2,2,0,0,-6.68021664997441
"2132",3,2,4,3,4,0,0,-2.17784631667089
"2133",3,3,4,4,5,1,1,2.60174565562774
"2134",3,3,4,3,4,0,1,-0.831493064548341
"2135",4,3,4,4,5,1,1,3.61442880383672
"2136",5,5,5,5,5,1,1,8.56081700246639
"2137",3,3,3,3,5,0,0,-1.39239057752515
"2138",4,4,4,4,4,1,1,3.8364377364998
"2139",1,3,1,2,2,0,0,-8.67737519778019
"2140",3,3,3,4,4,0,0,-1.22821982798995
"2141",4,4,4,4,5,1,0,4.26767871385712
"2142",4,4,4,4,4,1,1,3.8364377364998
"2143",3,3,3,3,4,0,0,-2.17018322593355
"2144",3,3,3,3,4,0,0,-2.17018322593355
"2145",3,3,3,3,4,0,1,-1.82363155488248
"2146",4,3,4,4,5,1,0,3.26787713278565
"2148",4,4,4,4,5,1,1,4.6142303849082
"2149",2,3,3,3,2,0,0,-4.73845167095933
"2150",3,3,4,4,4,0,0,-0.236081337655814
"2151",2,1,2,2,2,0,1,-8.32560505032895
"2152",3,3,3,3,5,0,1,-1.04583890647407
"2153",2,2,3,3,4,0,0,-4.18266795521401
"2154",4,4,4,4,4,1,0,3.48988606544872
"2155",4,4,4,4,4,1,0,3.48988606544872
"2156",3,3,4,5,4,1,0,2.41936473411187
"2157",4,4,4,4,5,1,1,4.6142303849082
"2158",3,3,4,4,4,0,1,0.110470333395263
"2159",4,3,4,3,5,1,1,2.67246540589312
"2160",3,3,2,1,1,0,1,-7.03307478632902
"2161",3,3,3,4,5,0,0,-0.450427179581548
"2162",4,4,4,4,5,1,1,4.6142303849082
"2163",4,3,4,3,5,1,0,2.32591373484204
"2164",4,4,4,5,5,1,0,5.20964211180073
"2165",3,3,3,3,4,0,1,-1.82363155488248
"2166",4,4,4,4,5,1,0,4.26767871385712
"2167",4,4,5,3,5,1,1,4.66440547729873
"2168",3,3,3,3,4,0,1,-1.82363155488248
"2169",2,2,3,3,3,0,0,-4.96046060362241
"2170",3,3,3,3,4,0,0,-2.17018322593355
"2171",4,4,5,5,5,1,1,6.54833227318594
"2172",3,3,3,4,5,0,1,-0.103875508530471
"2173",3,3,3,3,4,0,0,-2.17018322593355
"2174",3,3,3,4,4,0,1,-0.881668156938872
"2175",5,5,5,5,5,1,0,8.21426533141532
