"","UNIQUE_ID","High_Performer","Protected_Group","Retained","scale","bio_scale","SJ1.score","SJ2.score","SJ3.score","SJ4.score","SJ5.score","SJ6.score","SJ7.score","SJ8.score","SJ9.score","latency","PScale1","PScale2","PScale3","PScale4","PScale5","PScale6","PScale7","PScale8","PScale9","PScale10","PScale11","PScale12","PScale13"
"166",245084041,0,0,0,-7.73019332343642,-0.155621768357793,-0.262029781875302,-0.0295278093050692,-0.117968845539627,0.00739140818196312,0.0195283973148153,0.0697295574471017,0.00347663852804739,-0.0730077558028678,-0.0576981988450397,73.2222222222222,3.25,2.75,2.5,1,2.5,2.5,1,1.75,1,1,1.75,1.25,1.2
"167",245133882,0,1,0,-1.17804473559942,-0.0443065924106671,0.190540246803742,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.1613607670349,48.2222222222222,2,3.5,2.25,2,2.5,3.66666666666667,1,2.5,1,1.25,2.5,1.25,1.2
"168",245031741,1,0,1,3.8364377364998,0.17381679937668,0.088268947151857,0.180214679108811,0.019915664942267,-0.0274278672873789,0.0195283973148153,0.0308841431621186,-0.273482857113636,0.0153154829883771,0.1613607670349,42.6666666666667,3,3.75,3.75,1.25,4,3.16666666666667,1,2.25,1,1.5,1.25,1,1.6
"169",245048205,1,0,1,3.61442880383672,0.0811808160767805,-0.0317977188044307,-0.398078324903488,0.019915664942267,0.00938328374616502,-0.152292850959183,0.0308841431621186,-0.0997197298364098,0.0733464753010898,0.135627171835627,42.4444444444444,4,3.75,4,1.66666666666667,1,3.66666666666667,2.75,3.75,3,1,1.25,1,2.4
"170",240700022,1,0,0,4.26767871385712,0.127004668415238,0.190540246803742,0.180214679108811,0.105069144058838,-0.0274278672873789,0.0195283973148153,0.057262845389879,0.00347663852804739,0.0733464753010898,0.135627171835627,34.1111111111111,3.25,3,3.5,1.75,1,3.33333333333333,1,2.5,1,1,1,1.5,2
"171",245026280,1,1,1,5.5561937828518,-0.00298393144403551,-0.0317977188044307,-0.0295278093050692,0.019915664942267,0.00938328374616502,0.119082310470903,0.057262845389879,0.00347663852804739,0.0153154829883771,-0.0576981988450397,25.5555555555556,3.75,3.75,2.25,4,2.5,2.83333333333333,1.5,3.25,1.25,1.75,1.25,1.25,2
"172",245165787,0,0,1,-7.32580346925747,-0.0933366813469134,0.190540246803742,-0.134892008742598,0.105069144058838,0.0277138569392193,0.119082310470903,0.0496020199988172,0.00347663852804739,-0.0730077558028678,-0.175268761698318,34.2222222222222,1,3,1.75,2,2.5,2.83333333333333,2,3,2,2.75,3.75,3.25,2.2
"173",245014435,0,0,1,-0.881668156938872,-0.0858888349705579,-0.331745058615635,-0.398078324903488,0.019915664942267,0.0277138569392193,0.119082310470903,0.0308841431621186,0.00289449124236004,0.0733464753010898,0.273474905103578,203.777777777778,2,3.25,3.25,3,3.25,3.66666666666667,1.25,2.25,1.25,1.75,2.5,2.75,2.2
"174",245103076,0,0,0,-3.94777745541343,0.0584984520324399,0.125814021895194,0.180214679108811,-0.27104382779605,0.0277138569392193,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0770531466804187,-0.0576981988450397,38.3333333333333,3.25,3,3.75,1.75,3.25,2.83333333333333,1,2.25,1.25,1,2.5,1.75,2.4
"175",237149810,0,1,0,-0.157698496653098,0.162215315484606,0.088268947151857,-0.0295278093050692,0.105069144058838,-0.0274278672873789,0.119082310470903,0.0697295574471017,0.0486520924781456,-0.0730077558028678,0.1613607670349,40.3333333333333,3,3.5,4,1.75,4,3.66666666666667,1,1.5,1,1,1.5,1.25,1
"176",245246580,0,0,0,-6.65967199209957,-0.218127481366779,0.190540246803742,-0.00732295582083226,0.105069144058838,0.00739140818196312,0.0195283973148153,0.0697295574471017,0.194158266658312,-0.0730077558028678,0.1613607670349,59.2222222222222,1,2.5,1.5,3.5,1.5,2.5,3,3,2.25,3,4,2.5,2.2
"177",245190865,0,0,0,-3.94777745541343,-0.125021035038505,0.088268947151857,0.180214679108811,0.193980055278995,0.00938328374616502,0.0195283973148153,0.0496020199988172,0.00347663852804739,-0.0730077558028678,-0.0576981988450397,47.1111111111111,2,2.75,2.25,3,2.75,2.66666666666667,1.25,2.5,1,2.5,3.5,3,2.2
"178",245080849,0,1,0,-2.17018322593355,-0.114110918581391,-0.1485486438502,-0.134892008742598,0.193980055278995,-0.0782702222235596,-0.0419923234371015,0.0697295574471017,0.0486520924781456,0.0770531466804187,0.1613607670349,99.6666666666667,2.5,3,2.75,2,2,2.66666666666667,2,3,2.5,2.25,2.5,2,2
"179",245074533,0,0,1,-1.77345646249194,-0.161871953472111,-0.143742027347242,-0.395892795585364,-0.159758599813203,0.00938328374616502,0.0195283973148153,0.057262845389879,0.0486520924781456,-0.0730077558028678,-0.21570445232357,673.777777777778,1.5,3.75,3.25,2,2,2.66666666666667,1.5,3,1,2,3.25,1.75,1.4
"180",245037059,0,1,1,-1.82363155488248,0.02278500480332,0.088268947151857,0.180214679108811,0.105069144058838,0.0794715033920372,0.119082310470903,0.0697295574471017,0.0421189851117737,0.0153154829883771,-0.0576981988450397,56.6666666666667,3.25,3.75,3.75,2,3,3.66666666666667,1,3.75,1,1.5,3,2.25,1.6
"181",245207269,0,0,0,-0.400252087191017,0.110177273036373,0.190540246803742,-0.123004962836159,-0.308766036924631,0.00739140818196312,0.0195283973148153,0.0697295574471017,0.0486520924781456,0.0733464753010898,-0.0576981988450397,51.4444444444444,4,4,4,1,4,3,1,3,1,1,1,2,2
"182",245103931,0,0,1,0.110470333395263,-0.0481342887753814,0.190540246803742,0.180214679108811,-0.117968845539627,-0.0274278672873789,0.0195283973148153,0.0697295574471017,0.0486520924781456,-0.0730077558028678,0.273474905103578,66,1.75,3.5,3,3,2,2.33333333333333,2.25,2,1.75,2.5,3,2.75,2.2
"183",245159931,0,0,0,-0.236081337655814,0.127875102503928,0.088268947151857,-0.0295278093050692,0.105069144058838,-0.0274278672873789,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.0576981988450397,49.2222222222222,4,4,4,1,3,4,1,4,1,1,1,1,1.4
"184",244990750,1,1,1,8.56081700246639,0.16813941303049,0.190540246803742,-0.0295278093050692,0.193980055278995,0.00739140818196312,-0.0419923234371015,0.0308841431621186,0.00347663852804739,0.0733464753010898,0.135627171835627,51.2222222222222,4,4,4,1,1,3,1,2.5,1,1,1.75,1.75,1
"185",245060350,0,1,0,-2.17018322593355,0.0388905616283642,-0.143742027347242,-0.123004962836159,0.019915664942267,0.0277138569392193,-0.152292850959183,0.0308841431621186,0.0558125618011219,0.0733464753010898,-0.0576981988450397,46.4444444444444,3.5,3.75,3.5,1.75,2.5,3.5,2,3.75,1,1,1.25,1,2
"186",235053490,0,0,0,-2.17018322593355,0.112432637595903,0.088268947151857,0.180214679108811,0.193980055278995,0.00938328374616502,-0.152292850959183,0.0308841431621186,0.00347663852804739,-0.0730077558028678,0.135627171835627,39.1111111111111,2.5,3,3,2.25,2.5,3.16666666666667,1,2.75,1,1.75,2,1.25,1.8
"187",245166716,0,0,0,-1.39239057752515,-0.0984465390803581,0.125814021895194,-0.0295278093050692,0.019915664942267,-0.0782702222235596,-0.323977843362693,0.057262845389879,0.0486520924781456,0.0153154829883771,-0.0576981988450397,43.7777777777778,3,4,4,1,1.5,2.83333333333333,1,3.75,1,1.25,2,3.25,2.4
"189",245155768,1,0,1,7.56101542139492,0.0229533750436875,-0.0317977188044307,-0.135979512919568,0.105069144058838,-0.0274278672873789,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0153154829883771,0.135627171835627,110.555555555556,2.75,3.5,2.75,1,3.25,3.5,1.75,2.5,1,1,3.5,1,1.2
"190",245139601,1,0,1,2.62229031350259,-0.15765558923138,-0.0317977188044307,0.180214679108811,-0.155680195179028,0.00938328374616502,0.0195283973148153,0.0496020199988172,0.0486520924781456,0.0770531466804187,-0.175268761698318,71,2.25,3.25,2.75,2,2.25,3.33333333333333,1.5,2.25,1,2.25,2.66666666666667,3,2
"191",245113307,0,1,1,-1.82363155488248,0.0962706682198764,0.125814021895194,-0.00732295582083226,0.105069144058838,0.00938328374616502,0.0195283973148153,0.057262845389879,0.0486520924781456,0.0733464753010898,0.135627171835627,50.5555555555556,2.5,4,3.25,3,2.5,3.33333333333333,1,3.25,1,1.25,3,1,1.4
"192",245077929,0,0,1,0.131014991270108,-0.140382114144277,-0.0317977188044307,-0.135979512919568,0.019915664942267,0.00938328374616502,-0.0419923234371015,0.0697295574471017,-0.0997197298364098,-0.0730077558028678,-0.0576981988450397,53.5555555555556,1.75,2.5,2.25,3.25,1,3.66666666666667,1.25,3,1,1.5,2.75,2,1.8
"193",245130976,1,0,0,8.21426533141532,0.00443573202836441,0.088268947151857,-0.123004962836159,0.105069144058838,0.00739140818196312,0.0195283973148153,-0.188681162334108,0.0486520924781456,-0.711218882482436,-0.0576981988450397,48,3,3.25,3,2.25,3.25,3.33333333333333,1,2,1,1.5,2.75,1.25,2.4
"194",245255200,0,0,0,-0.400252087191017,-0.105507401769174,0.088268947151857,-0.00732295582083226,0.019915664942267,0.00938328374616502,-0.0419923234371015,0.0496020199988172,0.0486520924781456,0.0770531466804187,-0.175268761698318,25.8888888888889,1.75,3.5,2,2.5,3.75,2.66666666666667,1.75,2.25,1.5,2.25,2.25,1,1.4
"195",245276238,0,0,0,-2.17018322593355,0.120960670067964,-0.411723260291882,0.180214679108811,0.193980055278995,0.00739140818196312,0.119082310470903,0.0308841431621186,-0.0997197298364098,0.0770531466804187,0.135627171835627,44.4444444444444,2,2.75,1.75,2.25,2,2.66666666666667,1.75,2.5,1.75,2,2.25,1.75,2.2
"196",245073966,1,0,1,7.56101542139492,0.025152584049515,0.190540246803742,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.1613607670349,54.1111111111111,2.75,3.5,2.75,1.75,2.25,2.33333333333333,2,2.5,1.75,2,3,2,2.2
"197",245080454,0,0,0,-10.4047943348695,0.0615012838927617,0.088268947151857,0.180214679108811,-0.177824934254533,0.00739140818196312,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0770531466804187,0.273474905103578,71.8888888888889,3.25,3.75,3,3,3.5,2.33333333333333,1.5,2,1.75,2,1.75,2,1.8
"198",245195070,0,1,0,-2.94797587434195,-0.0486855497488662,-0.1485486438502,0.180214679108811,-0.159758599813203,0.0277138569392193,0.0195283973148153,0.057262845389879,0.00289449124236004,0.0153154829883771,-0.0576981988450397,37.4444444444444,1.5,2.25,3.25,2.75,3.5,1.83333333333333,2.5,4,3.5,1,3.75,1,1.6
"199",245113939,1,0,1,3.62209189457406,0.183696825564865,-0.0317977188044307,0.180214679108811,0.224366218008776,0.0277138569392193,0.0195283973148153,0.0308841431621186,0.0421189851117737,0.0770531466804187,0.273474905103578,65.3333333333333,4,4,3.75,1.75,4,3.33333333333333,1.25,2,1,1.25,1,1,1.2
"200",244985211,1,0,1,4.6142303849082,0.144662762304652,0.190540246803742,-0.134892008742598,0.019915664942267,0.00739140818196312,-0.152292850959183,0.0308841431621186,-0.273482857113636,0.0770531466804187,0.135627171835627,25.8888888888889,2.75,4,3.5,1.75,4,3.33333333333333,1,3,1,1,2,1.5,1.4
"201",245114721,0,1,1,-1.82363155488248,-0.126366398940676,-0.143742027347242,-0.135979512919568,-0.177824934254533,0.00938328374616502,-0.0419923234371015,0.0308841431621186,0.00289449124236004,-0.0730077558028678,-0.175268761698318,194.666666666667,1.75,3.5,3.25,3.5,1,3.5,1,3.75,1,1,4,1.5,1.4
"202",245021348,0,0,0,-1.39239057752515,0.135314713358967,-0.0317977188044307,-0.398078324903488,0.019915664942267,-0.0782702222235596,-0.152292850959183,0.0697295574471017,0.0486520924781456,0.0153154829883771,-0.0576981988450397,17.4444444444444,4,4,4,1,1.75,3.83333333333333,1,3.75,1,1,1.5,1,1.75
"203",245185513,1,1,0,7.20158218320634,-0.0795281083967431,0.088268947151857,0.180214679108811,0.019915664942267,0.0277138569392193,0.119082310470903,0.0308841431621186,0.0421189851117737,-0.0730077558028678,-0.0576981988450397,45.6666666666667,1.75,2.75,2.25,2.25,1,3.33333333333333,1,3.25,1.25,1.25,2.75,2,2
"204",245096647,1,0,1,2.60174565562774,-0.0891601655098278,-0.0317977188044307,-0.134892008742598,0.105069144058838,0.0277138569392193,-0.0419923234371015,-0.188681162334108,0.0486520924781456,0.0153154829883771,-0.0576981988450397,65.7777777777778,1.5,4,3,1.5,1.5,3.5,1,2.25,1.25,1.25,4,1.5,1.8
"205",245079056,0,0,0,-2.17018322593355,-0.0859770858173402,-0.0317977188044307,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.057262845389879,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,38.3333333333333,1,3.75,2.5,4,1.5,3.33333333333333,1,3.25,1,1,3,2,2
"206",245119199,1,1,1,6.54833227318594,0.0629505575214101,-0.1485486438502,0.180214679108811,0.193980055278995,0.00938328374616502,0.119082310470903,0.0697295574471017,0.0486520924781456,-0.0730077558028678,-0.175268761698318,89.5555555555556,1.75,3,4,1.5,2.75,3.5,1,3,1,1,1.25,1.25,1.6
"207",245220970,1,0,0,2.33357682557938,0.133529727126966,0.190540246803742,0.180214679108811,0.105069144058838,-0.106599064831381,-0.152292850959183,0.0308841431621186,0.0486520924781456,-0.0730077558028678,0.1613607670349,43.3333333333333,4,4,3.5,1.75,4,3.5,1,2.5,1,1,1,1,1.2
"208",245066532,1,0,1,2.83663615542832,0.154641706952151,0.190540246803742,-0.0295278093050692,0.224366218008776,0.0794715033920372,0.119082310470903,0.057262845389879,0.00347663852804739,0.0733464753010898,-0.0576981988450397,52.3333333333333,3.5,4,3.5,1,3,3.16666666666667,1.25,2.5,1,1,2,3.5,2
"209",245144357,1,0,1,8.56081700246639,0.179036791575364,0.190540246803742,0.180214679108811,0.105069144058838,0.00938328374616502,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0770531466804187,-0.0576981988450397,61.3333333333333,4,3.5,4,3.5,4,3.33333333333333,1,1.25,1.25,1,1.5,1.5,1.2
"210",244956971,0,1,1,-0.823829973811001,0.114049775411789,-0.411723260291882,-0.134892008742598,-0.177824934254533,0.00739140818196312,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0153154829883771,0.273474905103578,83.6666666666667,2.5,3.25,2.75,1.75,1.25,3.5,1.75,2,1,1.25,2.5,1.25,1.6
"211",245114950,0,0,0,-2.17018322593355,-0.0398126184131498,0.190540246803742,-0.123004962836159,0.105069144058838,0.0196180801388833,0.0195283973148153,0.0308841431621186,0.0558125618011219,0.0733464753010898,-0.0576981988450397,58,1.5,3,2.75,1.5,2,2.16666666666667,2.25,3.25,1.25,2.5,4,2.75,2
"212",245156041,1,1,1,3.6722669869646,0.10958941536343,0.190540246803742,0.180214679108811,0.193980055278995,0.0277138569392193,0.0195283973148153,0.057262845389879,0.00347663852804739,0.0733464753010898,-0.0576981988450397,38.3333333333333,3,3.25,3,1.75,3,3.16666666666667,1,2,2,1,2.5,1.75,1.8
"213",245057687,0,1,1,-6.62639366185179,-0.0748416675971219,-0.143742027347242,0.180214679108811,0.105069144058838,0.00739140818196312,0.0195283973148153,-0.188681162334108,0.0486520924781456,0.0733464753010898,0.135627171835627,33,3.25,4,4,3.5,4,3.16666666666667,1,2.5,1.5,1,2.5,2,1.8
"214",245107237,1,0,1,4.6142303849082,-0.116547143644981,0.088268947151857,0.180214679108811,0.105069144058838,0.0277138569392193,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0770531466804187,0.135627171835627,104.777777777778,2.25,3.25,2.5,3,2,2.66666666666667,2,2.75,1.75,2.25,3,2.5,2.8
"215",244954463,1,0,0,3.48988606544872,0.0613511653435144,-0.1485486438502,-0.00732295582083226,-0.117968845539627,0.0277138569392193,0.0195283973148153,0.0308841431621186,-0.0997197298364098,0.0770531466804187,0.1613607670349,47,2,4,3.5,2,2.25,3,2.75,2,2,1.5,3.25,1,2
"216",239687574,1,0,1,4.6142303849082,0.0992330538304668,0.088268947151857,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0421189851117737,0.0153154829883771,-0.0576981988450397,38.6666666666667,3.5,4,3.75,1.5,3,3,1.5,3.75,1.75,1,1.5,1.75,2
"217",126273449,1,1,1,3.61442880383672,0.128454709988581,0.125814021895194,-0.00732295582083226,0.105069144058838,0.123524902704998,0.0195283973148153,0.0697295574471017,0.00289449124236004,0.0153154829883771,-0.175268761698318,83.1111111111111,3,4,3.25,3,3.75,3.66666666666667,1,2,1,1.25,2,2,1
"218",245256000,0,1,0,-2.17018322593355,-0.0624864132361499,-0.0317977188044307,0.180214679108811,0.019915664942267,0.00938328374616502,-0.152292850959183,-0.188681162334108,0.0486520924781456,-0.347399718706184,-0.0576981988450397,27.3333333333333,2.5,2.75,2.25,2.75,1,2.33333333333333,1.75,3,1.75,2.25,3,2,2.4
"219",126415803,0,0,1,-11.1082193372805,0.117066058056014,0.190540246803742,0.180214679108811,0.193980055278995,0.00739140818196312,0.0195283973148153,0.0308841431621186,0.0558125618011219,0.0733464753010898,0.273474905103578,93.2222222222222,3,3.25,1.75,1.75,4,3.16666666666667,1,1.75,1,1.25,1.25,1,1
"220",245114627,0,0,1,-1.82363155488248,-0.017315676511423,0.190540246803742,0.180214679108811,0.193980055278995,0.00739140818196312,0.119082310470903,0.0308841431621186,0.0558125618011219,0.0153154829883771,0.0821532023064181,130.555555555556,4,4,4,1,4,3.5,1,2.5,1,1,1,1,2.2
"221",245102295,1,1,1,3.61442880383672,0.128604885882353,0.190540246803742,-0.134892008742598,-0.155680195179028,0.00938328374616502,0.0195283973148153,0.057262845389879,0.0486520924781456,0.0770531466804187,0.1613607670349,84.1111111111111,4,4,4,1,3.25,4,1,1,1.75,1,1,1,1.4
"222",245075551,0,1,0,-1.17804473559942,-0.15508388820868,0.190540246803742,-0.123004962836159,0.019915664942267,0.0277138569392193,-0.152292850959183,0.0697295574471017,-0.273482857113636,0.0153154829883771,0.135627171835627,51.8888888888889,1,3,2.5,2,1.75,2.66666666666667,2,3.25,1.75,2,3,2.5,1.4
"224",245070777,1,1,1,4.6142303849082,0.0324082402539345,-0.0317977188044307,-0.134892008742598,-0.117968845539627,0.00938328374616502,0.0195283973148153,0.057262845389879,0.0486520924781456,-0.0730077558028678,0.1613607670349,74.3333333333333,2.5,3,3.5,1,1.75,2.83333333333333,1.75,2.5,2,1.5,1.75,3,2
"225",124087103,1,1,1,4.6142303849082,0.184258222052282,-0.0317977188044307,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0496020199988172,0.00289449124236004,0.0733464753010898,-0.21570445232357,56.7777777777778,2,3.75,3.75,2.5,1.75,3.5,1,2.25,1,1,3.75,1,1.4
"226",245256987,0,0,0,-2.17018322593355,0.0316533651175796,-0.0317977188044307,0.180214679108811,-0.159758599813203,0.00739140818196312,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.1613607670349,63.6666666666667,2.5,3.25,2.5,2,2.25,2.16666666666667,1.5,2.25,1,1.25,2.25,2.75,1.6
"227",245095448,0,0,1,-8.55283245939219,-0.0211736540837242,0.125814021895194,0.180214679108811,-0.298426024324185,0.0196180801388833,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0770531466804187,0.273474905103578,40,2.5,2.75,3,1,1.75,3.16666666666667,1.25,1.75,1.5,1,2.75,1.75,1.8
"228",245157351,0,0,1,-1.82363155488248,-0.0742617417624346,-0.143742027347242,-0.395892795585364,0.193980055278995,0.00938328374616502,0.0195283973148153,-0.104544200337258,0.00289449124236004,0.0733464753010898,-0.21570445232357,66.2222222222222,3,4,4,2.75,4,3.66666666666667,1,4,1,1,2.5,1,1.6
"229",245067207,1,0,1,4.6142303849082,0.130927660956773,-0.0317977188044307,-0.0295278093050692,-0.159758599813203,0.123524902704998,0.0195283973148153,0.057262845389879,0.0486520924781456,0.0153154829883771,0.273474905103578,22.4444444444444,4,4,4,1,4,4,1,1,1,1,1,1,1
"230",245092003,1,0,1,4.6142303849082,-0.120811440213721,0.088268947151857,-0.00732295582083226,-0.308766036924631,0.0277138569392193,0.0195283973148153,0.0308841431621186,0.0486520924781456,-0.0730077558028678,0.135627171835627,52.4444444444444,2.75,3.5,2.75,1.25,1.75,2.5,2,2,2,1.75,2.5,1,1.8
"231",245055147,1,0,1,4.6142303849082,0.0517283485723044,0.125814021895194,-0.0295278093050692,0.105069144058838,0.0794715033920372,0.0195283973148153,0.0697295574471017,-0.0997197298364098,1.45381328509018,0.273474905103578,50.7777777777778,1.75,4,3.25,3.75,1,3.83333333333333,2.5,3.5,1,1.75,3.25,1.75,1.6
"232",245103788,1,1,1,2.84429924616566,-0.00852778906089374,-0.0317977188044307,-0.144094909187762,-0.296359181077929,-0.0782702222235596,-0.0419923234371015,0.057262845389879,0.0486520924781456,-0.0730077558028678,0.135627171835627,44.2222222222222,1.75,3.75,2.75,1.25,1,3,1.25,2.75,1,1,3.25,1.75,2.2
"233",245122522,0,0,1,-1.82363155488248,-0.146287001485793,0.125814021895194,0.180214679108811,-0.117968845539627,-0.0782702222235596,0.0195283973148153,0.0308841431621186,0.0229070770579125,0.0733464753010898,-0.0576981988450397,48.2222222222222,1.75,4,3.75,1.25,1,3.66666666666667,1,2.5,1,1,4,1,1.4
"234",245031419,0,1,0,-2.17018322593355,0.0233807962112366,0.125814021895194,-0.00732295582083226,-0.177824934254533,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.00347663852804739,0.0153154829883771,-0.175268761698318,54,2.25,3.5,3.25,1.5,1.5,3.33333333333333,1.33333333333333,2.75,1.25,1.25,2.75,2,1.6
"235",120257228,0,0,1,-1.82363155488248,0.148130573035901,-0.0317977188044307,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,-0.188681162334108,-0.0997197298364098,0.0153154829883771,0.273474905103578,62.5555555555556,1.5,3.25,1.75,2,3.25,2.5,1,1,1,2,3.25,1.25,1.2
"236",244581255,0,1,0,-11.404595915941,-0.0526564052753617,NA,NA,-0.177824934254533,0.00938328374616502,-0.0419923234371015,0.0308841431621186,-0.0997197298364098,0.0770531466804187,-0.0576981988450397,NA,1,2.75,2.5,1,1.75,3.66666666666667,1,3,1.75,1.75,2.5,1.5,1.4
"237",124684371,1,0,1,4.6142303849082,0.0319881089459504,0.190540246803742,-0.00732295582083226,0.105069144058838,-0.0782702222235596,-0.152292850959183,0.0308841431621186,0.0558125618011219,0.0733464753010898,-0.143782005780726,51.2222222222222,3.75,4,3.5,2,3.5,3.5,1.25,3.25,1,1.5,1.5,1.5,1.6
"238",245061837,0,0,1,-5.39170158097973,-0.0928473696502662,0.125814021895194,-0.398078324903488,0.105069144058838,-0.0274278672873789,0.0195283973148153,0.0697295574471017,0.00289449124236004,0.0733464753010898,0.1613607670349,33.7777777777778,1.5,4,2,2.75,2.75,2.5,1.25,3.25,1,1.75,1.75,1.75,2.8
"239",241913170,1,0,0,6.20178060213486,0.108398954921217,-0.0317977188044307,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0496020199988172,0.0486520924781456,0.0770531466804187,0.135627171835627,45.8888888888889,3.25,3.75,4,1,4,3.16666666666667,1,2.25,1,1,2,1,1.6
"240",245087590,1,0,1,4.6142303849082,-0.118592521524238,0.125814021895194,-0.135979512919568,0.019915664942267,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.0486520924781456,0.0770531466804187,0.135627171835627,105.555555555556,3,3.5,3,2,2,3,1,2.25,1,2,2.75,2.75,1.8
"241",245014591,0,1,1,-4.61390893257133,0.0376626674140806,0.190540246803742,-0.134892008742598,0.105069144058838,0.00938328374616502,0.119082310470903,0.057262845389879,0.0486520924781456,-0.0730077558028678,-0.175268761698318,58.3333333333333,3.25,3.75,3,1.75,3,3.66666666666667,1,2.75,2,1.25,2.25,2,1.4
"242",245033123,0,1,1,0.118133424132603,-0.0596381463651042,-0.0317977188044307,-0.134892008742598,-0.155680195179028,0.00938328374616502,-0.272689197524503,0.0697295574471017,0.00347663852804739,-0.00324446033255262,-0.0576981988450397,72.5555555555556,3.25,3.75,4,2.5,1.75,3.33333333333333,1.75,2.25,1,1,4,1,1.6
"243",245124378,1,0,1,2.84429924616566,0.0595721507133681,0.088268947151857,0.180214679108811,0.193980055278995,0.00739140818196312,0.0195283973148153,0.0308841431621186,0.0421189851117737,0.0770531466804187,0.1613607670349,60.5555555555556,3.25,4,3.25,3.75,1.75,3.66666666666667,1.75,1,1,1,1,1,1.6
"244",245206078,0,1,0,-2.17018322593355,0.158614769249694,NA,NA,0.019915664942267,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.0576981988450397,NA,2.75,3.75,3.5,2.25,3.75,3.5,1,2.75,1,1,2,1.25,NA
"245",245161379,0,0,1,-0.05370041613994,-0.106734209904179,-0.0317977188044307,0.180214679108811,0.019915664942267,-0.0274278672873789,0.0195283973148153,0.0697295574471017,0.0486520924781456,0.0770531466804187,0.1613607670349,44.3333333333333,2.5,3,3,1,3,3.33333333333333,2,2.75,2,2,3,1,2
"246",245066028,1,1,1,5.5561937828518,-0.000117128737147459,0.125814021895194,0.180214679108811,0.193980055278995,-0.0274278672873789,0.119082310470903,0.0496020199988172,0.0486520924781456,-0.0730077558028678,0.135627171835627,91.3333333333333,3,3,3,2.5,1.66666666666667,2.33333333333333,1,2,1,2,2,2.66666666666667,1.6
"247",244940352,0,1,1,-0.823829973811001,0.0688952495431799,0.088268947151857,0.180214679108811,-0.117968845539627,0.00938328374616502,0.0195283973148153,-0.188681162334108,0.0486520924781456,-0.0730077558028678,0.135627171835627,51.6666666666667,4,3.25,4,1,4,3.5,1,1,1,1,1,1,1
"248",244937239,1,0,1,3.61442880383672,0.0607192194271371,-0.0317977188044307,-0.123004962836159,0.105069144058838,0.00938328374616502,-0.131017483284654,0.0697295574471017,0.00347663852804739,0.0733464753010898,0.135627171835627,53.8888888888889,1,3.25,3.25,2.5,1.75,3,1.75,2,1,1,1.75,1.75,1
"249",245141533,0,0,1,-0.05370041613994,0.0135716389188422,0.088268947151857,0.180214679108811,0.019915664942267,-0.0782702222235596,0.0195283973148153,0.057262845389879,0.0486520924781456,0.0733464753010898,-0.0576981988450397,49.2222222222222,3,3,3,3,2.5,2.66666666666667,1,2.5,1,1.25,1.75,2.75,2.2
"250",245196291,1,0,0,5.20964211180073,0.142391244468634,0.088268947151857,0.180214679108811,0.193980055278995,0.00739140818196312,0.119082310470903,0.057262845389879,0.00289449124236004,-0.0730077558028678,-0.21570445232357,48.4444444444444,4,4,4,1,3.25,3,1,3,1,1,3,1.75,1.8
"251",245046045,0,0,1,-1.82363155488248,0.157839032129028,-0.1485486438502,-0.00732295582083226,0.193980055278995,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0153154829883771,0.135627171835627,49.8888888888889,3.25,4,3.25,2,1.75,3.33333333333333,1,1.25,1,1,1.25,1,1.2
"252",245172999,0,1,1,-3.37921685169928,0.111956568238283,0.125814021895194,-0.0295278093050692,0.019915664942267,0.0277138569392193,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0153154829883771,0.273474905103578,113.666666666667,3.25,2.75,2.75,1.75,1,2.83333333333333,2.25,2,1.5,2,2.5,1.75,1.8
"253",245252105,0,0,0,-8.45014778871695,-0.0697931139891943,-0.143742027347242,0.180214679108811,-0.117968845539627,0.00938328374616502,0.0195283973148153,-0.104544200337258,0.00289449124236004,0.0733464753010898,-0.24181862123262,59.2222222222222,1.75,2.75,1.75,3,1,3.33333333333333,1,2.75,1,1.75,3.25,3,2.4
